tx_id	length	frac	tpm_expected	reads_expected	tpm_A	numreads_A	tpm_IU	numreads_IU	tpm_SF	numreads_SF
tx0001	2173	0.23319446	233194.46	20020.93	222894.4374	19954	222894.4374	19954	0.0000	0
tx0002	2630	0.21666339	216663.39	22513.74	202676.7769	22456	202676.7769	22456	0.0000	0
tx0003	2719	0.16206311	162063.11	17410.04	150991.3523	17355	150991.3523	17355	0.0000	0
tx0004	977	0.096290731	96290.73	3716.94	109412.7284	3703	109412.7284	3703	0.0000	0
tx0005	1223	0.08112078	81120.78	3919.81	86320.2052	3910	86320.2052	3910	0.0000	0
tx0006	2054	0.046790086	46790.09	3797.17	45080.9047	3786	45080.9047	3786	0.0000	0
tx0007	1422	0.039788332	39788.33	2235.43	40780.3501	2225	40780.3501	2225	0.0000	0
tx0008	1686	0.03021108	30211.08	2012.47	30022.1285	2007	30022.1285	2007	0.0000	0
tx0009	619	0.026263581	26263.58	642.32	37256.5087	640	37256.5087	640	0.0000	0
tx0010	1420	0.021625527	21625.53	1213.28	22141.6506	1206	22141.6506	1206	0.0000	0
tx0011	977	0.020449169	20449.17	789.36	23312.6229	789	23312.6229	789	0.0000	0
tx0012	2829	0.0077778347	7777.83	869.36	7179.6698	862	7179.6698	862	0.0000	0
tx0013	536	0.0058628792	5862.88	124.16	9313.3130	124	9313.3130	124	0.0000	0
tx0014	910	0.0041366839	4136.68	148.73	4849.4321	149	4849.4321	149	0.0000	0
tx0015	1141	0.0017141799	1714.18	77.28	1856.3573	77	1856.3573	77	0.0000	0
tx0016	2604	0.0015955474	1595.55	164.16	1496.5318	164	1496.5318	164	0.0000	0
tx0017	1741	0.0010587546	1058.75	72.83	1051.7046	73	1051.7046	73	0.0000	0
tx0018	2050	0.00062379986	623.80	50.52	608.6200	51	608.6200	51	0.0000	0
tx0019	2920	0.00060557284	605.57	69.86	555.1194	69	555.1194	69	0.0000	0
tx0020	2159	0.00055322072	553.22	47.19	528.8597	47	528.8597	47	0.0000	0
tx0021	1835	0.00046689138	466.89	33.85	460.7849	34	460.7849	34	0.0000	0
tx0022	1967	0.00040423136	404.23	31.42	387.8287	31	387.8287	31	0.0000	0
tx0023	801	0.00037369421	373.69	11.83	467.8194	12	467.8194	12	0.0000	0
tx0024	1887	0.00036645933	366.46	27.32	354.2939	27	354.2939	27	0.0000	0
