tx_id	length	frac	tpm_expected	reads_expected
tx0001	2173	0.23319446	233194.46	20020.93
tx0002	2630	0.21666339	216663.39	22513.74
tx0003	2719	0.16206311	162063.11	17410.04
tx0004	977	0.096290731	96290.73	3716.94
tx0005	1223	0.08112078	81120.78	3919.81
tx0006	2054	0.046790086	46790.09	3797.17
tx0007	1422	0.039788332	39788.33	2235.43
tx0008	1686	0.03021108	30211.08	2012.47
tx0009	619	0.026263581	26263.58	642.32
tx0010	1420	0.021625527	21625.53	1213.28
tx0011	977	0.020449169	20449.17	789.36
tx0012	2829	0.0077778347	7777.83	869.36
tx0013	536	0.0058628792	5862.88	124.16
tx0014	910	0.0041366839	4136.68	148.73
tx0015	1141	0.0017141799	1714.18	77.28
tx0016	2604	0.0015955474	1595.55	164.16
tx0017	1741	0.0010587546	1058.75	72.83
tx0018	2050	0.00062379986	623.80	50.52
tx0019	2920	0.00060557284	605.57	69.86
tx0020	2159	0.00055322072	553.22	47.19
tx0021	1835	0.00046689138	466.89	33.85
tx0022	1967	0.00040423136	404.23	31.42
tx0023	801	0.00037369421	373.69	11.83
tx0024	1887	0.00036645933	366.46	27.32
