chrom	start	end	num	list	rep1	rep2	rep3
chr1	5661	5689	1	rep2	0	1	0
chr1	5689	6218	2	rep1,rep2	1	1	0
chr1	6218	6246	1	rep1	1	0	0
chr1	8270	8604	1	rep2	0	1	0
chr1	8855	9246	1	rep2	0	1	0
chr1	10682	10699	1	rep1	1	0	0
chr1	10699	10706	2	rep1,rep3	1	0	1
chr1	10706	11581	3	rep1,rep2,rep3	1	1	1
chr1	11581	11585	2	rep1,rep3	1	0	1
chr1	11585	11614	1	rep1	1	0	0
chr1	12629	12656	1	rep1	1	0	0
chr1	12656	12689	2	rep1,rep2	1	1	0
chr1	12689	13139	3	rep1,rep2,rep3	1	1	1
chr1	13139	13166	2	rep2,rep3	0	1	1
chr1	13166	13199	1	rep3	0	0	1
chr1	16547	16555	1	rep2	0	1	0
chr1	16555	16556	2	rep2,rep3	0	1	1
chr1	16556	16963	3	rep1,rep2,rep3	1	1	1
chr1	16963	16972	2	rep1,rep3	1	0	1
chr1	16972	17408	1	rep3	0	0	1
chr1	20391	20430	1	rep1	1	0	0
chr1	20430	20804	2	rep1,rep3	1	0	1
chr1	20804	20843	1	rep3	0	0	1
chr1	26764	26801	1	rep2	0	1	0
chr1	26801	27165	2	rep2,rep3	0	1	1
chr1	27165	27202	1	rep3	0	0	1
chr1	34813	35257	1	rep1	1	0	0
chr1	36500	36502	1	rep2	0	1	0
chr1	36502	36504	2	rep2,rep3	0	1	1
chr1	36504	37095	3	rep1,rep2,rep3	1	1	1
chr1	37095	37097	2	rep1,rep3	1	0	1
chr1	37097	37099	1	rep1	1	0	0
chr1	40662	41051	1	rep1	1	0	0
chr1	42183	42201	1	rep2	0	1	0
chr1	42201	42223	2	rep2,rep3	0	1	1
chr1	42223	42603	3	rep1,rep2,rep3	1	1	1
chr1	42603	42621	2	rep1,rep3	1	0	1
chr1	42621	42643	1	rep1	1	0	0
chr1	44391	44404	1	rep1	1	0	0
chr1	44404	44429	2	rep1,rep2	1	1	0
chr1	44429	44896	3	rep1,rep2,rep3	1	1	1
chr1	44896	44909	2	rep2,rep3	0	1	1
chr1	44909	44934	1	rep3	0	0	1
chr1	51821	51832	1	rep2	0	1	0
chr1	51832	51845	2	rep2,rep3	0	1	1
chr1	51845	52277	3	rep1,rep2,rep3	1	1	1
chr1	52277	52301	2	rep1,rep3	1	0	1
chr1	52301	52566	1	rep3	0	0	1
chr1	52618	52640	1	rep1	1	0	0
chr1	52640	52666	2	rep1,rep3	1	0	1
chr1	52666	53140	3	rep1,rep2,rep3	1	1	1
chr1	53140	53162	2	rep2,rep3	0	1	1
chr1	53162	53188	1	rep2	0	1	0
chr1	55020	55032	1	rep2	0	1	0
chr1	55032	55064	2	rep2,rep3	0	1	1
chr1	55064	55516	3	rep1,rep2,rep3	1	1	1
chr1	55516	55528	2	rep1,rep3	1	0	1
chr1	55528	55560	1	rep1	1	0	0
chr1	55914	55934	1	rep3	0	0	1
chr1	55934	55956	2	rep1,rep3	1	0	1
chr1	55956	56843	3	rep1,rep2,rep3	1	1	1
chr1	56843	56854	2	rep1,rep3	1	0	1
chr1	56854	56874	1	rep1	1	0	0
chr1	58726	58733	1	rep1	1	0	0
chr1	58733	59209	2	rep1,rep3	1	0	1
chr1	59209	59696	3	rep1,rep2,rep3	1	1	1
chr1	59696	59705	2	rep1,rep2	1	1	0
chr1	59705	59719	1	rep2	0	1	0
chr1	65191	65209	1	rep3	0	0	1
chr1	65209	65217	2	rep1,rep3	1	0	1
chr1	65217	65592	3	rep1,rep2,rep3	1	1	1
chr1	65592	65610	2	rep1,rep2	1	1	0
chr1	65610	65618	1	rep2	0	1	0
chr1	66004	66077	1	rep1	1	0	0
chr1	66077	66519	2	rep1,rep3	1	0	1
chr1	66519	66592	1	rep3	0	0	1
chr1	67908	68239	1	rep3	0	0	1
chr1	72260	72759	1	rep3	0	0	1
chr1	73259	73545	1	rep1	1	0	0
chr1	73545	73564	2	rep1,rep3	1	0	1
chr1	73564	74127	3	rep1,rep2,rep3	1	1	1
chr1	74127	74175	2	rep1,rep2	1	1	0
chr1	74175	74196	1	rep2	0	1	0
chr1	74226	74268	1	rep2	0	1	0
chr1	74268	74662	2	rep1,rep2	1	1	0
chr1	74662	74704	1	rep1	1	0	0
chr1	76271	76768	1	rep2	0	1	0
chr1	78664	78709	1	rep1	1	0	0
chr1	78709	78712	2	rep1,rep2	1	1	0
chr1	78712	79137	3	rep1,rep2,rep3	1	1	1
chr1	79137	79182	2	rep2,rep3	0	1	1
chr1	79182	79185	1	rep3	0	0	1
chr1	80949	80955	1	rep2	0	1	0
chr1	80955	81007	2	rep1,rep2	1	1	0
chr1	81007	81542	3	rep1,rep2,rep3	1	1	1
chr1	81542	81548	2	rep1,rep3	1	0	1
chr1	81548	81600	1	rep3	0	0	1
chr1	86072	86100	1	rep3	0	0	1
chr1	86100	86218	2	rep2,rep3	0	1	1
chr1	86218	86763	3	rep1,rep2,rep3	1	1	1
chr1	86763	86773	2	rep1,rep2	1	1	0
chr1	86773	86792	1	rep2	0	1	0
chr1	88868	88897	1	rep1	1	0	0
chr1	88897	88924	2	rep1,rep2	1	1	0
chr1	88924	89340	3	rep1,rep2,rep3	1	1	1
chr1	89340	89369	2	rep2,rep3	0	1	1
chr1	89369	89396	1	rep3	0	0	1
chr1	97180	97197	1	rep2	0	1	0
chr1	97197	97206	2	rep1,rep2	1	1	0
chr1	97206	97612	3	rep1,rep2,rep3	1	1	1
chr1	97612	97629	2	rep1,rep3	1	0	1
chr1	97629	97638	1	rep3	0	0	1
chr1	97760	97787	1	rep2	0	1	0
chr1	97787	97813	2	rep2,rep3	0	1	1
chr1	97813	98183	3	rep1,rep2,rep3	1	1	1
chr1	98183	98210	2	rep1,rep3	1	0	1
chr1	98210	98236	1	rep1	1	0	0
chr2	775	790	1	rep3	0	0	1
chr2	790	824	2	rep2,rep3	0	1	1
chr2	824	1264	3	rep1,rep2,rep3	1	1	1
chr2	1264	1279	2	rep1,rep2	1	1	0
chr2	1279	1313	1	rep1	1	0	0
chr2	4077	4078	1	rep3	0	0	1
chr2	4078	4119	2	rep1,rep3	1	0	1
chr2	4119	4594	3	rep1,rep2,rep3	1	1	1
chr2	4594	4595	2	rep1,rep2	1	1	0
chr2	4595	4636	1	rep2	0	1	0
chr2	5811	6145	1	rep2	0	1	0
chr2	9666	10184	1	rep3	0	0	1
chr2	13585	13588	1	rep3	0	0	1
chr2	13588	13607	2	rep1,rep3	1	0	1
chr2	13607	14075	3	rep1,rep2,rep3	1	1	1
chr2	14075	14078	2	rep1,rep2	1	1	0
chr2	14078	14097	1	rep2	0	1	0
chr2	14125	14132	1	rep2	0	1	0
chr2	14132	14153	2	rep2,rep3	0	1	1
