bin	bin_start	bin_end	genes	exons	cpg
1	0	100000	2	9	0
2	100000	200000	3	16	4
3	200000	300000	2	15	3
4	300000	400000	3	9	0
5	400000	500000	3	17	3
6	500000	600000	3	10	0
7	600000	700000	2	9	1
8	700000	800000	3	13	0
9	800000	900000	2	12	3
10	900000	1000000	2	12	0
11	1000000	1100000	3	15	1
12	1100000	1200000	2	6	2
13	1200000	1300000	3	19	0
14	1300000	1400000	3	12	1
15	1400000	1500000	3	21	1
16	1500000	1600000	2	10	1
17	1600000	1700000	2	10	0
18	1700000	1800000	1	1	5
19	1800000	1900000	0	0	4
20	1900000	2000000	0	0	1
