chrom	start	end	rep1	rep2	rep3
chr1	0	250	0	65	52
chr1	500	750	70	0	0
chr1	1000	1250	0	88	11
chr1	1500	1750	83	57	17
chr1	2000	2250	0	59	82
chr1	3000	3250	25	64	80
chr1	3500	3750	0	3	0
chr1	4000	4250	36	37	2
chr1	4500	4750	98	10	0
chr1	5000	5250	73	93	0
chr1	5500	5750	94	39	69
chr1	6000	6250	0	100	0
chr1	6500	6750	0	61	72
chr1	7000	7250	0	12	49
chr1	7500	7750	22	89	3
chr1	8000	8250	0	8	28
chr1	8500	8750	50	90	99
chr1	9000	9250	0	43	60
chr1	9500	9750	95	86	98
chr1	10000	10250	0	0	29
chr1	11000	11250	0	0	84
chr1	11500	11750	72	70	68
chr1	12000	12250	42	71	0
chr1	12500	12750	82	59	0
chr1	13000	13250	63	51	28
chr1	13500	13750	0	23	49
chr1	14000	14250	64	55	22
chr1	14500	14750	24	94	75
chr1	15000	15250	0	25	94
chr1	15500	15750	93	54	75
chr1	16000	16250	32	90	89
chr1	16500	16750	0	35	72
chr1	17000	17250	43	0	72
chr1	18000	18250	96	13	0
chr1	18500	18750	78	0	0
chr1	19000	19250	0	46	0
chr1	19500	19750	0	58	22
chr1	20000	20250	0	85	11
chr1	20500	20750	11	0	77
chr1	21000	21250	12	81	67
chr1	21500	21750	17	49	42
chr1	22000	22250	31	75	0
chr1	22500	22750	49	45	16
chr1	23000	23250	96	0	22
chr1	23500	23750	42	86	0
chr1	24000	24250	92	0	0
chr1	24500	24750	33	78	2
chr1	25000	25250	88	86	90
chr1	25500	25750	85	15	0
chr1	26000	26250	39	14	0
chr1	26500	26750	87	88	0
chr1	27000	27250	90	49	0
chr1	27500	27750	0	17	0
chr1	28000	28250	81	54	84
chr1	28500	28750	0	81	12
chr1	29000	29250	78	82	41
chr1	29500	29750	17	0	20
chr1	30000	30250	58	21	0
chr1	30500	30750	0	17	81
chr1	31000	31250	53	57	0
chr1	31500	31750	0	45	22
chr1	32500	32750	0	24	78
chr1	33500	33750	0	0	75
chr1	34000	34250	0	63	0
chr1	34500	34750	76	62	93
chr1	35000	35250	0	56	16
chr1	35500	35750	57	10	0
chr1	36000	36250	46	97	0
chr1	36500	36750	72	4	0
chr1	37000	37250	70	68	98
chr1	37500	37750	0	99	0
chr1	38000	38250	68	95	77
chr1	38500	38750	41	0	78
chr1	39000	39250	0	65	72
chr1	39500	39750	87	14	63
chr1	40000	40250	74	69	95
chr1	40500	40750	65	0	44
chr1	41000	41250	7	96	0
chr1	41500	41750	65	92	11
chr1	42000	42250	72	27	0
chr1	42500	42750	59	0	93
chr1	43000	43250	39	83	0
chr1	43500	43750	0	0	33
chr1	44000	44250	0	4	88
chr1	44500	44750	0	44	32
chr1	45000	45250	5	0	0
chr1	45500	45750	89	15	0
chr1	46000	46250	7	0	56
chr1	46500	46750	0	94	0
chr1	47000	47250	60	44	0
chr1	47500	47750	52	0	0
chr1	48000	48250	17	54	48
chr1	48500	48750	0	17	48
chr1	49000	49250	0	0	61
chr1	49500	49750	53	0	0
chr1	50000	50250	48	0	97
chr1	50500	50750	48	68	20
chr1	51000	51250	87	68	4
chr1	51500	51750	0	90	40
chr1	52000	52250	0	73	13
chr1	52500	52750	44	65	21
chr1	53000	53250	68	0	0
chr1	53500	53750	16	12	9
chr1	54000	54250	0	96	11
chr1	54500	54750	0	0	78
chr1	56000	56250	92	0	83
chr1	56500	56750	68	16	55
chr1	57000	57250	29	91	12
chr1	57500	57750	44	31	24
chr1	58000	58250	24	0	70
chr1	58500	58750	0	62	0
chr1	59000	59250	0	80	0
chr1	59500	59750	84	53	36
chr1	60000	60250	98	9	12
chr1	60500	60750	0	98	73
chr1	61000	61250	0	65	62
chr1	61500	61750	8	0	46
chr1	62000	62250	4	47	11
chr1	62500	62750	86	62	84
chr1	63000	63250	0	0	61
chr1	63500	63750	94	0	3
chr1	64000	64250	56	0	81
chr1	64500	64750	27	58	10
chr1	65000	65250	0	89	14
chr1	65500	65750	0	8	50
chr1	66000	66250	37	0	84
chr1	66500	66750	93	54	82
chr1	67000	67250	73	0	23
chr1	67500	67750	86	41	48
chr1	68000	68250	0	0	57
chr1	68500	68750	18	73	56
chr1	69000	69250	0	62	28
chr1	69500	69750	52	0	0
chr1	70000	70250	7	0	19
chr1	70500	70750	75	0	0
chr1	71000	71250	0	80	10
chr1	71500	71750	0	0	69
chr1	72000	72250	54	15	96
chr1	72500	72750	6	0	70
chr1	73000	73250	0	58	49
chr1	73500	73750	0	54	0
chr1	74000	74250	100	88	68
chr1	74500	74750	89	0	60
chr1	75000	75250	19	0	30
chr1	75500	75750	23	35	10
chr1	76000	76250	0	46	91
chr1	76500	76750	28	47	73
chr1	77000	77250	90	83	0
chr1	77500	77750	59	50	0
chr1	78000	78250	0	92	79
chr1	78500	78750	53	29	96
chr1	79000	79250	17	11	21
chr1	79500	79750	32	0	0
chr1	80000	80250	82	61	0
chr1	80500	80750	57	75	54
chr1	81000	81250	0	87	87
chr1	81500	81750	92	1	80
chr1	82000	82250	0	15	76
chr1	82500	82750	48	0	93
chr1	83000	83250	77	16	0
chr1	83500	83750	9	29	49
chr1	84000	84250	97	93	70
chr1	84500	84750	85	0	35
chr1	85000	85250	61	47	1
chr1	85500	85750	42	0	0
chr1	86000	86250	1	99	66
chr1	86500	86750	24	0	0
chr1	87000	87250	0	0	19
chr1	87500	87750	96	86	75
chr1	88000	88250	31	67	12
chr1	88500	88750	90	78	0
chr1	89000	89250	30	56	12
chr1	89500	89750	99	27	0
chr1	90000	90250	59	19	0
chr1	90500	90750	45	0	0
chr1	91000	91250	46	56	0
chr1	91500	91750	63	0	83
chr1	92000	92250	92	12	77
chr1	92500	92750	40	15	22
chr1	93000	93250	0	49	18
chr1	93500	93750	52	54	87
chr1	94000	94250	28	17	4
chr1	94500	94750	0	82	42
chr1	95000	95250	70	70	6
chr1	95500	95750	0	92	0
chr1	96000	96250	53	99	0
chr1	96500	96750	25	0	0
chr1	97000	97250	48	84	38
chr1	97500	97750	31	0	62
chr1	98000	98250	83	77	0
chr1	98500	98750	0	95	29
chr1	99000	99250	97	82	95
chr1	99500	99750	0	30	41
chr2	0	250	0	14	53
chr2	500	750	62	81	11
chr2	1000	1250	93	67	27
chr2	2000	2250	92	46	62
chr2	2500	2750	23	0	0
chr2	3000	3250	0	72	0
chr2	3500	3750	82	69	0
chr2	4000	4250	0	97	20
chr2	4500	4750	9	98	90
chr2	5000	5250	0	75	17
chr2	5500	5750	97	33	0
chr2	6000	6250	17	7	72
chr2	6500	6750	0	0	24
chr2	7000	7250	90	36	0
chr2	7500	7750	27	64	7
chr2	8000	8250	47	0	58
chr2	8500	8750	81	51	46
chr2	9000	9250	78	68	0
chr2	9500	9750	0	19	59
chr2	10000	10250	2	39	81
chr2	10500	10750	70	26	0
chr2	11000	11250	2	0	30
chr2	11500	11750	35	41	76
chr2	12000	12250	36	81	60
chr2	12500	12750	89	0	44
chr2	13000	13250	22	82	33
chr2	13500	13750	12	89	0
chr2	14000	14250	30	30	36
chr2	14500	14750	67	11	6
chr2	15000	15250	45	0	73
chr2	15500	15750	50	78	0
chr2	16000	16250	51	39	28
chr2	16500	16750	31	84	86
chr2	17000	17250	0	0	83
chr2	17500	17750	87	90	2
chr2	18000	18250	0	1	0
chr2	18500	18750	83	44	0
chr2	19000	19250	0	100	60
chr2	19500	19750	48	0	0
chr2	20000	20250	60	47	76
chr2	20500	20750	1	99	0
chr2	21000	21250	0	0	77
chr2	21500	21750	55	0	0
chr2	22000	22250	42	3	90
chr2	22500	22750	12	54	54
chr2	23000	23250	0	8	0
chr2	23500	23750	0	73	0
chr2	24000	24250	88	63	27
chr2	24500	24750	0	46	86
chr2	25000	25250	5	72	79
chr2	25500	25750	0	20	13
chr2	26000	26250	35	13	84
chr2	27000	27250	4	14	0
chr2	27500	27750	40	65	76
chr2	28000	28250	26	1	38
chr2	28500	28750	96	60	61
chr2	29000	29250	0	19	35
chr2	29500	29750	0	4	35
chr2	30000	30250	0	91	91
chr2	30500	30750	72	0	0
chr2	31000	31250	49	41	24
chr2	31500	31750	69	92	97
chr2	32000	32250	96	9	7
chr2	32500	32750	0	15	0
chr2	33000	33250	0	6	0
chr2	33500	33750	10	66	84
chr2	34000	34250	44	0	17
chr2	34500	34750	55	0	0
chr2	35000	35250	9	59	37
chr2	35500	35750	98	0	53
chr2	36000	36250	76	0	94
chr2	36500	36750	99	11	90
chr2	37000	37250	81	1	0
chr2	37500	37750	57	37	0
chr2	38000	38250	45	38	91
chr2	38500	38750	48	0	68
chr2	39000	39250	87	47	60
chr2	39500	39750	48	63	0
chr2	40000	40250	79	0	64
chr2	40500	40750	31	0	21
chr2	41500	41750	19	31	0
chr2	42000	42250	100	52	12
chr2	42500	42750	94	69	94
chr2	43000	43250	46	88	71
chr2	43500	43750	0	0	0
chr2	44000	44250	0	0	87
chr2	44500	44750	97	84	0
chr2	45000	45250	16	94	28
chr2	45500	45750	55	0	95
chr2	46000	46250	71	67	0
chr2	46500	46750	13	0	42
chr2	47000	47250	45	7	74
chr2	47500	47750	76	0	15
chr2	48000	48250	41	35	81
chr2	48500	48750	0	29	79
chr2	49000	49250	52	0	24
chr2	49500	49750	10	89	87
chr2	50000	50250	0	0	38
chr2	50500	50750	31	95	19
chr2	51000	51250	21	12	25
chr2	51500	51750	21	81	72
chr2	52000	52250	38	0	0
chr2	52500	52750	18	72	0
chr2	53000	53250	55	84	91
chr2	53500	53750	38	0	10
chr2	54000	54250	9	33	80
chr2	54500	54750	31	0	0
chr2	55000	55250	0	0	7
chr2	55500	55750	78	94	35
chr2	56000	56250	13	57	99
chr2	56500	56750	0	9	97
chr2	57000	57250	0	0	100
chr2	57500	57750	79	98	0
chr2	58000	58250	42	19	78
chr2	58500	58750	55	57	54
chr2	59000	59250	0	52	61
chr2	59500	59750	0	45	4
chr2	60000	60250	0	0	93
chr2	60500	60750	41	39	1
chr2	61000	61250	88	15	0
chr2	61500	61750	40	87	0
chr2	62000	62250	50	90	2
chr2	62500	62750	0	5	80
chr2	63000	63250	88	41	0
chr2	63500	63750	73	91	44
chr2	64000	64250	0	45	13
chr2	64500	64750	35	6	75
chr2	65000	65250	0	33	8
chr2	65500	65750	14	0	0
chr2	66000	66250	0	51	37
chr2	66500	66750	69	0	66
chr2	67000	67250	98	70	43
chr2	67500	67750	93	59	87
chr2	68000	68250	90	17	0
chr2	68500	68750	37	7	62
chr2	69000	69250	0	0	24
chr2	69500	69750	52	0	51
chr2	70000	70250	17	51	28
chr2	70500	70750	30	80	0
chr2	71000	71250	19	0	93
chr2	71500	71750	0	75	64
chr2	72000	72250	0	9	46
chr2	72500	72750	76	8	0
chr2	73000	73250	51	82	0
chr2	73500	73750	88	16	81
chr2	74000	74250	4	42	68
chr2	74500	74750	0	59	76
chr2	75000	75250	68	73	0
chr2	75500	75750	10	92	83
chr2	76000	76250	31	3	0
chr2	76500	76750	45	54	14
chr2	77000	77250	78	27	48
chr2	77500	77750	82	0	32
chr2	78000	78250	51	57	19
chr2	78500	78750	0	0	87
chr2	79000	79250	55	79	38
chr2	79500	79750	12	82	12
